id;app_user_id;game_id
1;14;1
2;14;2
3;14;3
4;14;4
5;14;5
6;14;6
7;14;7
8;14;8
9;14;9
10;14;10
11;15;1
12;15;2
13;15;3
14;15;4
15;15;5
16;15;6
17;15;7
18;15;8
19;15;9
20;15;10
21;16;1
22;16;2
23;16;3
24;16;4
25;16;5
26;16;6
27;16;7
28;16;8
29;16;9
30;16;10
31;17;1
32;17;2
33;17;3
34;17;4
35;17;5
36;17;6
37;17;7
38;17;8
39;17;9
40;17;10
41;18;1
42;18;2
43;18;3
44;18;4
45;18;5
46;18;6
47;18;7
48;18;8
49;18;9
50;18;10
51;19;1
52;19;2
53;19;3
54;19;4
55;19;5
56;19;6
57;19;7
58;19;8
59;19;9
60;19;10
61;20;1
62;20;2
63;20;3
64;20;4
65;20;5
66;20;6
67;20;7
68;20;8
69;20;9
70;20;10
